"Treatment_Scenario","Scenario","Beta","Method1","Method2","N_Sims","Mean_Delta","SD_Delta","MC_CI_Lo","MC_CI_Hi","Pct_Sims_Sig","Pct_Sims_Method1_Wins","Pct_Sims_Method2_Wins","Pct_Sims_Tie","Overall_Winner"
"RCT",1,0,"DINA Cross-Fit","DINA Gao (GLM k2)",50,-0.277173037662449,0.101434137530561,-0.305289146127183,-0.249056929197715,90,90,0,10,"DINA Cross-Fit"
"RCT",1,0,"DINA Cross-Fit","DINA Gao (LASSO k2)",50,0.00325322447690613,0.0411280759796497,-0.00814689656066129,0.0146533455144736,16,10,6,84,"Tie"
"RCT",1,0,"DINA Cross-Fit","Dandl Extension",50,-0.0439321114260808,0.0505293200147612,-0.0579381243599044,-0.0299260984922571,16,16,0,84,"DINA Cross-Fit"
"RCT",1,0,"DINA Cross-Fit","R-learner (LASSO)",50,-0.00155771233920581,0.0683324268199176,-0.0204984947118903,0.0173830700334787,16,10,6,84,"Tie"
"RCT",1,0,"DINA Cross-Fit","WATCH (Residual LASSO)",50,-0.0362575288371893,0.0572785721887004,-0.0521343390272241,-0.0203807186471545,16,14,2,84,"DINA Cross-Fit"
"RCT",1,0,"DINA Cross-Fit","WATCH (Residual Risk)",50,-0.0340843317114925,0.0558522963108633,-0.0495657983982632,-0.0186028650247218,16,14,2,84,"DINA Cross-Fit"
"RCT",1,0,"DINA Gao (GLM k2)","DINA Gao (LASSO k2)",50,0.280426262139355,0.0935031900454135,0.25450850015983,0.30634402411888,92,0,92,8,"DINA Gao (LASSO k2)"
"RCT",1,0,"DINA Gao (GLM k2)","Dandl Extension",50,0.233240926236368,0.0959051635023471,0.206657371182749,0.259824481289987,80,0,80,20,"Dandl Extension"
"RCT",1,0,"DINA Gao (GLM k2)","R-learner (LASSO)",50,0.275615325323243,0.0866790778173168,0.251589110748287,0.299641539898199,90,0,90,10,"R-learner (LASSO)"
"RCT",1,0,"DINA Gao (GLM k2)","WATCH (Residual LASSO)",50,0.24091550882526,0.1106888348709,0.21023412913563,0.271596888514889,76,0,76,24,"WATCH (Residual LASSO)"
"RCT",1,0,"DINA Gao (GLM k2)","WATCH (Residual Risk)",50,0.243088705950956,0.10929196512348,0.212794518801094,0.273382893100819,80,0,80,20,"WATCH (Residual Risk)"
"RCT",1,0,"DINA Gao (LASSO k2)","Dandl Extension",50,-0.0471853359029869,0.0567577594234775,-0.0629177841597188,-0.031452887646255,20,18,2,80,"DINA Gao (LASSO k2)"
