"Treatment_Scenario","Scenario","Beta","Method","N_Sims","Mean_MSE","SD_MSE","Mean_Bias","Mean_Variance","Mean_Correlation","Mean_Somers_D","Mean_MAE","Mean_P_Value","Mean_P_Value_Max","Mean_P_Value_Quad","Detection_Rate","Detection_Rate_Max","Detection_Rate_Quad","Mean_Time_Sec"
"RCT",1,0,"DINA Gao (LASSO k2)",50,0.0232140386345753,0.0202536788805004,-0.00373242147132074,0.0135965199605965,0.00877753738576782,NA,0.115041234498853,0.480625750265887,0.480625750265887,0.443466168946784,2,2,8,24.23002
"RCT",1,0,"DINA Original",50,0.025065341773017,0.0316135980791755,-0.00124880105586912,0.0152302865631485,-0.00147640447502843,NA,0.113672570534723,0.515468009914674,0.515468009914674,0.436475866921718,2,2,10,2.61917999999992
"RCT",1,0,"DINA Cross-Fit",50,0.0262613717554108,0.0212539160000956,-0.000604082938877087,0.0157346470716112,0.0297653539469078,NA,0.123112866468975,0.515456025412825,0.515456025412825,0.436475866921718,2,2,10,7.02606000000001
"RCT",1,0,"R-learner (LASSO)",50,0.0283895146600835,0.0552760890189619,-0.00119354847604569,0.0185819913556202,-0.00688946825210856,NA,0.118348207090891,0.515405501676663,0.515405501676663,0.436475866921718,2,2,10,0.107999999999959
"RCT",1,0,"DR-learner (2-Model 2SL)",50,0.0290493896679587,0.0169313169681938,4.87855743847745e-05,0.0183049157524182,0.00217337275733728,NA,0.135669729972783,0.508082001407216,0.508082001407216,0.439279000397245,0,0,6,104.3406
"RCT",1,0,"Dandl Extension",50,0.0774268868634058,0.0273593725416913,3.02108975384203e-05,0.067503826790295,0.00530428982274081,NA,0.219691547065583,0.515447064268415,0.515447064268415,0.436475866921718,2,2,10,51.81222
"RCT",1,1,"R-learner (LASSO)",50,0.0457400685541748,0.0275364127698528,-0.0026379670971798,0.0363795747286182,0.35818879035945,0.337432620258068,0.17298702300388,0.41299457429534,0.41299457429534,0.356308440962496,18,18,14,0.104179999999969
"RCT",1,1,"DINA Gao (LASSO k2)",50,0.0481061744489695,0.02168605320234,-0.0033871647019778,0.0384625476654612,0.210180105471217,0.171307304743834,0.178534874768277,0.42329603246064,0.42329603246064,0.372342384761272,14,14,16,24.7045
"RCT",1,1,"DR-learner (2-Model 2SL)",50,0.0497916876017678,0.0195845785494128,-0.00438408740685278,0.0397553479085264,0.201981835459972,0.145444499951559,0.179412729190484,0.414913140196547,0.414913140196547,0.354046296453197,18,18,8,103.67178
"RCT",1,1,"DINA Cross-Fit",50,0.0531506243466835,0.0257344564730701,-0.00439477197812038,0.0432983353432108,0.0956061546458503,0.0800549505117553,0.185396974074306,0.412991587922485,0.412991587922485,0.356308440962496,18,18,14,7.22936000000003
"RCT",1,1,"DINA Original",50,0.0574519297656091,0.0598479712417218,-0.002730439098573,0.0480795852634018,0.293890241445492,0.271134449044813,0.185836236823474,0.413005376126506,0.413005376126506,0.356308440962496,18,18,14,3.81926000000002
"RCT",1,1,"Dandl Extension",50,0.0848282890407784,0.0279325860791443,-0.00198285138718911,0.0752132970822019,0.393194842602854,0.267862747207422,0.230704846286397,0.413002258502994,0.413002258502994,0.356308440962496,18,18,14,51.01202
"RCT",1,2,"R-learner (LASSO)",50,0.083033500468563,0.0337136028084475,-0.00313096732906654,0.0732221391767948,0.745975438249947,0.729488833797958,0.239370945441859,0.137851764296018,0.137851764296018,0.193953439309023,50,50,38,0.10431999999998
"RCT",1,2,"DINA Original",50,0.0910410768470132,0.0399254974193588,-0.00309557904850675,0.0812276586133717,0.691831260745559,0.666822139009824,0.249752091726968,0.137893077671038,0.137893077671038,0.193953439309023,50,50,38,6.06465999999995
"RCT",1,2,"DR-learner (2-Model 2SL)",50,0.0927726464941581,0.0220408320355335,-0.00156581919555775,0.0830846691808958,0.515686133210642,0.380251543788237,0.257362061213615,0.132165535784818,0.132165535784818,0.195168308953016,56,56,36,102.22686
"RCT",1,2,"Dandl Extension",50,0.0934650574627021,0.0316307988833898,-0.00132790007360787,0.0832577231914748,0.730121939108912,0.490093648474237,0.242695307916615,0.137858126724809,0.137858126724809,0.193953439309023,50,50,38,51.51778
"RCT",1,2,"DINA Gao (LASSO k2)",50,0.0988176433537271,0.0301799973716738,-0.00328146362613401,0.088948931344225,0.505139369481402,0.444526464949594,0.266111204389234,0.148253874342134,0.148253874342134,0.21187736195132,52,52,40,24.9344400000001
"RCT",1,2,"DINA Cross-Fit",50,0.109967829356594,0.0231470380510491,-0.0074468341687813,0.100389179757279,0.342065355351545,0.280495775336527,0.287956063102956,0.13785699458715,0.13785699458715,0.193953439309023,50,50,38,7.16298000000005
"RCT",2,0,"R-learner (LASSO)",50,0.0210036458167287,0.0253764200444284,0.000662882055096975,0.0104707033168119,-0.013287031281466,NA,0.110368163391682,0.505621314519364,0.505621314519364,0.443571981693172,2,2,6,0.111879999999971
"RCT",2,0,"DINA Gao (LASSO k2)",50,0.0234166815605691,0.0247696139658598,0.0019814784914642,0.013285164194837,-0.030385056945903,NA,0.112845798353152,0.495630425019952,0.495630425019952,0.445865029798963,0,0,8,22.87802
"RCT",2,0,"DINA Original",50,0.0248944107915408,0.0448019662255747,0.000724279799006657,0.0143681994301577,-0.0217011392947072,NA,0.111876961012848,0.505626079883727,0.505626079883727,0.443571981693172,2,2,6,2.82914000000003
"RCT",2,0,"DINA Cross-Fit",50,0.0274138498903368,0.0209096375590844,0.0022374510810478,0.0168232487550417,-0.00457884132025086,NA,0.128058915617035,0.505558074535028,0.505558074535028,0.443571981693172,2,2,6,7.59057999999995
"RCT",2,0,"DR-learner (2-Model 2SL)",50,0.0291743947163895,0.016544827255163,0.00313192838100783,0.0183844115955606,-0.00745428741257386,NA,0.135815122542399,0.508188858978375,0.508188858978375,0.440931411425755,0,0,2,103.83076
"RCT",2,0,"Dandl Extension",50,0.0768250994170694,0.0261124037105391,-6.5227447997412e-05,0.0662638264287416,-0.0309398542522716,NA,0.219646075048464,0.50558421802923,0.50558421802923,0.443571981693172,2,2,6,51.38288
"RCT",2,1,"DR-learner (2-Model 2SL)",50,0.0416847504381612,0.0207964011050543,0.00335451400789315,0.0317301641194747,0.334476747599086,0.227614677972818,0.158617223164933,0.320770106912829,0.320770106912829,0.333952233096365,24,24,10,103.97482
"RCT",2,1,"R-learner (LASSO)",50,0.0435356671974819,0.0344713280974455,0.00118091015026638,0.0331470213871531,0.519886406196094,0.408899877291084,0.156681908440876,0.323868175455518,0.323868175455518,0.338665531537931,22,22,16,0.107679999999973
"RCT",2,1,"DINA Cross-Fit",50,0.0442967052067384,0.02208638953682,0.00184360811485271,0.0346142949914327,0.240073284873958,0.163418345701865,0.161738134233287,0.323800668293054,0.323800668293054,0.338665531537931,22,22,16,6.92082000000006
"RCT",2,1,"DINA Gao (LASSO k2)",50,0.0468427608910184,0.0283562554466615,0.00286016805886092,0.0361322239875628,0.30486941961863,0.212690578401927,0.166576134554268,0.318923707701937,0.318923707701937,0.341835625034963,20,20,18,24.6382
"RCT",2,1,"DINA Original",50,0.0531295935661768,0.052293609841959,0.00119568377265066,0.0427676413861447,0.40358548672604,0.294123867525204,0.169661549375245,0.323783570084108,0.323783570084108,0.338665531537931,22,22,16,4.4993799999999
"RCT",2,1,"Dandl Extension",50,0.0841622922093202,0.0293500377276418,0.00239412208031965,0.0738938603663179,0.405976723849394,0.270576392241777,0.229217086189451,0.323771089615532,0.323771089615532,0.338665531537931,22,22,16,50.96598
"RCT",2,2,"R-learner (LASSO)",50,0.0545548984040829,0.0406589035089969,0.000747298093970301,0.0437859544604182,0.845008280844797,0.702234870075181,0.174068330586842,0.0390627521059221,0.0390627521059221,0.139423627466783,78,78,46,0.103500000000006
"RCT",2,2,"DINA Original",50,0.0643395263533314,0.0467023025267289,0.000814769576412703,0.0535688542426426,0.814737525447519,0.651746250745203,0.187033264441401,0.0390544203327018,0.0390544203327018,0.139423627466783,78,78,46,6.64659999999994
"RCT",2,2,"DINA Gao (LASSO k2)",50,0.071887784670551,0.0351356337574439,0.00322310726503578,0.0617649190934321,0.678128732402989,0.516570091671331,0.20393175010218,0.0359479121110101,0.0359479121110101,0.151543225151754,80,80,50,25.2974
"RCT",2,2,"DR-learner (2-Model 2SL)",50,0.0723432633261815,0.0270606274869604,0.00473780903720071,0.0615263821729565,0.649348133319813,0.476453837038293,0.205585888196866,0.0519148378976601,0.0519148378976601,0.140188423452047,78,78,50,101.7298
"RCT",2,2,"DINA Cross-Fit",50,0.0832764354292537,0.0268552041443693,0.00279446669227949,0.0729218944222541,0.546872003540209,0.379447208008603,0.222651196241618,0.0390600527103774,0.0390600527103774,0.139423627466783,78,78,46,7.38730000000005
"RCT",2,2,"Dandl Extension",50,0.100698646828823,0.0353340419714204,0.00178403714858145,0.0897066180327793,0.683984390872098,0.482530455829485,0.249087237270348,0.0390173417814914,0.0390173417814914,0.139423627466783,78,78,46,50.46482
"RCT",3,0,"DINA Cross-Fit",50,0.022386527567728,0.0175044164734503,0.000711884277688352,0.0110238699454474,-0.0134803760808681,NA,0.118385847897701,0.487833868052026,0.487833868052026,0.435619617543853,2,2,4,6.78411999999998
"RCT",3,0,"DINA Gao (LASSO k2)",50,0.0251472752832539,0.0258275745195748,0.000633901975017913,0.0148712914120826,0.0146846443042751,NA,0.11718606546889,0.483627795777796,0.483627795777796,0.43541626728641,2,2,8,23.80116
"RCT",3,0,"DR-learner (2-Model 2SL)",50,0.0289221342542063,0.0145789394182302,0.00133779413886635,0.018004836484225,0.00584760552998717,NA,0.13686289045284,0.498088109749742,0.498088109749742,0.442634659612227,4,4,4,102.97078
"RCT",3,0,"DINA Original",50,0.0307572090206929,0.0547006633593223,0.000139503421396887,0.0195509394014922,-0.0527956291554535,NA,0.122207795365058,0.487863074513611,0.487863074513611,0.435619617543853,2,2,4,2.84990000000002
"RCT",3,0,"R-learner (LASSO)",50,0.0313107246800266,0.0528591336205797,0.000159967819247935,0.0201017818122918,0.00393299202274917,NA,0.127225321506868,0.48787020226159,0.48787020226159,0.435619617543853,2,2,4,0.110320000000024
"RCT",3,0,"Dandl Extension",50,0.0803197037312723,0.0245694509093666,0.000540929830422382,0.0691637500944965,-0.00305693872601617,NA,0.225394827141613,0.487926228793858,0.487926228793858,0.435619617543853,2,2,4,49.9166599999999
"RCT",3,1,"DR-learner (2-Model 2SL)",50,0.0498750171801065,0.0178622415531713,-0.00151927219962498,0.0388212000286199,0.241187447371252,0.20189490065806,0.182943639052395,0.3707395736945,0.3707395736945,0.369828451819207,18,18,18,96.7508
"RCT",3,1,"DINA Cross-Fit",50,0.0507950971509472,0.0179960049573492,-0.00393823881987756,0.0403940560858219,0.146772723373127,0.128165427366082,0.18815703527112,0.36899386438177,0.36899386438177,0.369630555085481,22,22,16,6.46912000000006
"RCT",3,1,"DINA Gao (LASSO k2)",50,0.0542407011151378,0.0237810987507397,-0.0012585000915351,0.0438034804881088,0.197700876665176,0.16624673679572,0.190198353008802,0.373331818727245,0.373331818727245,0.374320411571538,16,16,22,22.50924
"RCT",3,1,"R-learner (LASSO)",50,0.0581050790376091,0.0515862021945043,-0.00174003377380423,0.0474194217383248,0.343689651298419,0.294571317936674,0.191460852896199,0.369046543585112,0.369046543585112,0.369630555085481,22,22,16,0.10412
