"Treatment_Scenario","Scenario","Beta","Method","N_Sims","Mean_VTE","SD_VTE","Mean_VTE_SE","Mean_CI_Width","Reject_Rate_05"
"RCT",1,0,"TMLE (Li 2026 VTE)",50,0.0182694594384682,0.0262725583839793,0.0201329821273752,0.078921289939311,2
"RCT",1,1,"TMLE (Li 2026 VTE)",50,0.019960848469759,0.0175477027012212,0.0231881758197642,0.0908976492134756,0
"RCT",1,2,"TMLE (Li 2026 VTE)",50,0.0571110472027907,0.0560096532515004,0.0372290134242449,0.14593773262304,16
"RCT",2,0,"TMLE (Li 2026 VTE)",50,0.0168785462002328,0.0236560660154851,0.0193244437261382,0.0757518194064616,2
"RCT",2,1,"TMLE (Li 2026 VTE)",50,0.0178007117120759,0.0248490342381701,0.0204239813193604,0.0800620067718929,2
"RCT",2,2,"TMLE (Li 2026 VTE)",50,0.0705214804820974,0.0559199035507668,0.0451468207824018,0.176975537467015,14
"RCT",3,0,"TMLE (Li 2026 VTE)",50,0.01230026671803,0.0133560131883968,0.0165879253930825,0.0650246675408835,0
"RCT",3,1,"TMLE (Li 2026 VTE)",50,0.025148730558772,0.0282081608575417,0.0249642080803127,0.0978596956748257,0
"RCT",3,2,"TMLE (Li 2026 VTE)",50,0.0615600982201607,0.0634705149320047,0.0392992158485943,0.15405292612649,16
"RCT",4,0,"TMLE (Li 2026 VTE)",50,0.0235782052154611,0.0370378208197925,0.0229433542859198,0.0899379488008057,4
"RCT",4,1,"TMLE (Li 2026 VTE)",50,0.0213143359425161,0.0278069728037714,0.0221054255261081,0.0866532680623438,0
"RCT",4,2,"TMLE (Li 2026 VTE)",50,0.0227690181800318,0.0241831264117206,0.0245362101983382,0.0961819439774857,0
