"Method","AvgRank","Metric"
"DINA Original",3.75,"MSE (lower better)"
"DINA Cross-Fit",3.58333333333333,"MSE (lower better)"
"DINA Gao (LASSO k2)",2.75,"MSE (lower better)"
"DR-learner (2-Model 2SL)",2.75,"MSE (lower better)"
"R-learner (LASSO)",2.5,"MSE (lower better)"
"Dandl Extension",5.66666666666667,"MSE (lower better)"
"DINA Original",3.125,"Correlation (higher better)"
"DINA Cross-Fit",6,"Correlation (higher better)"
"DINA Gao (LASSO k2)",4.75,"Correlation (higher better)"
"DR-learner (2-Model 2SL)",4,"Correlation (higher better)"
"R-learner (LASSO)",1.375,"Correlation (higher better)"
"Dandl Extension",1.75,"Correlation (higher better)"
