"Scenario","Scen","Beta","Method","n","MSE_se","MSE","Bias_se","Bias","Var_se","Variance","Cor_se","Correlation","Som_se","Somers_D","Detection","Detection_Max","Detection_Quad","Time"
1,"S1 (X11)",0,"DINA Original",50,0.0044708379158982,0.025065341773017,0.0141882074337103,-0.00124880105586912,0.00446969343172956,0.0152302865631485,0.0353573002976433,-0.00147640447502843,NA,NA,2,2,10,2.61917999999992
1,"S1 (X11)",0,"DINA Cross-Fit",50,0.00300575762608737,0.0262613717554108,0.0146787567327516,-0.000604082938877087,0.00231019917427484,0.0157346470716112,0.0216502223736861,0.0297653539469078,NA,NA,2,2,10,7.02606000000001
1,"S1 (X11)",0,"DINA Gao (LASSO k2)",50,0.00286430273607533,0.0232140386345753,0.0140195059040278,-0.00373242147132074,0.00242942807853122,0.0135965199605965,0.0217305612901428,0.00877753738576782,NA,NA,2,2,8,24.23002
1,"S1 (X11)",0,"DR-learner (2-Model 2SL)",50,0.00239444980852575,0.0290493896679587,0.0148331408917516,4.87855743847745e-05,0.00142532735378246,0.0183049157524182,0.0210887465074421,0.00217337275733728,NA,NA,0,0,6,104.3406
1,"S1 (X11)",0,"R-learner (LASSO)",50,0.00781721947655585,0.0283895146600835,0.0141733169315096,-0.00119354847604569,0.00791312062311529,0.0185819913556202,0.030153700315391,-0.00688946825210856,NA,NA,2,2,10,0.107999999999959
1,"S1 (X11)",0,"Dandl Extension",50,0.00386919957064779,0.0774268868634058,0.0143271305456929,3.02108975384203e-05,0.00378793091099145,0.067503826790295,0.0244309610711993,0.00530428982274081,NA,NA,2,2,10,51.81222
1,"S1 (X11)",1,"DINA Original",50,0.0084637812610558,0.0574519297656091,0.0138954172265264,-0.002730439098573,0.00853517298194468,0.0480795852634018,0.0633155525680884,0.293890241445492,0.0641811671012378,0.271134449044813,18,18,14,3.81926000000002
1,"S1 (X11)",1,"DINA Cross-Fit",50,0.00363940173645159,0.0531506243466835,0.0142281494870165,-0.00439477197812038,0.0027525911169216,0.0432983353432108,0.0286359644216475,0.0956061546458503,0.0239167874479794,0.0800549505117553,18,18,14,7.22936000000003
1,"S1 (X11)",1,"DINA Gao (LASSO k2)",50,0.00306687105530937,0.0481061744489695,0.0140763798353047,-0.0033871647019778,0.0025155301773793,0.0384625476654612,0.0354867692257554,0.210180105471217,0.0301679784225578,0.171307304743834,14,14,16,24.7045
1,"S1 (X11)",1,"DR-learner (2-Model 2SL)",50,0.00276967765979408,0.0497916876017678,0.0143545698950114,-0.00438408740685278,0.00196196197636367,0.0397553479085264,0.0285566361609273,0.201981835459972,0.0229244682598128,0.145444499951559,18,18,8,103.67178
1,"S1 (X11)",1,"R-learner (LASSO)",50,0.00389423683982295,0.0457400685541748,0.01386987199197,-0.0026379670971798,0.00383961433588081,0.0363795747286182,0.0688817344544057,0.35818879035945,0.0745841646604499,0.337432620258068,18,18,14,0.104179999999969
1,"S1 (X11)",1,"Dandl Extension",50,0.00395026420652797,0.0848282890407784,0.0141143195872333,-0.00198285138718911,0.00382934877690466,0.0752132970822019,0.0286802440622118,0.393194842602854,0.0215675110188087,0.267862747207422,18,18,14,51.01202
1,"S1 (X11)",2,"DINA Original",50,0.00564631799349492,0.0910410768470132,0.0142616160612329,-0.00309557904850675,0.00544623673169678,0.0812276586133717,0.0316142355566114,0.691831260745559,0.0404460385486818,0.666822139009824,50,50,38,6.06465999999995
1,"S1 (X11)",2,"DINA Cross-Fit",50,0.00327348551405597,0.109967829356594,0.0140871722077231,-0.0074468341687813,0.00302885559372916,0.100389179757279,0.0376005915031254,0.342065355351545,0.0332674441337967,0.280495775336527,50,50,38,7.16298000000005
1,"S1 (X11)",2,"DINA Gao (LASSO k2)",50,0.00426809615954055,0.0988176433537271,0.0143112927214989,-0.00328146362613401,0.00357083059948992,0.088948931344225,0.0394617530906101,0.505139369481402,0.0386438109119301,0.444526464949594,52,52,40,24.9344400000001
1,"S1 (X11)",2,"DR-learner (2-Model 2SL)",50,0.00311704435906388,0.0927726464941581,0.0141793863471252,-0.00156581919555775,0.00262691078988159,0.0830846691808958,0.0229532022225862,0.515686133210642,0.0193322536378792,0.380251543788237,56,56,36,102.22686
1,"S1 (X11)",2,"R-learner (LASSO)",50,0.00476782343281661,0.083033500468563,0.0142485248887107,-0.00313096732906654,0.00448652972096532,0.0732221391767948,0.0227167385077391,0.745975438249947,0.0349766504382102,0.729488833797958,50,50,38,0.10431999999998
1,"S1 (X11)",2,"Dandl Extension",50,0.00447327047695856,0.0934650574627021,0.0145490629468963,-0.00132790007360787,0.00425903511339831,0.0832577231914748,0.0162122725959295,0.730121939108912,0.0125445450922447,0.490093648474237,50,50,38,51.51778
2,"S2 (X14)",0,"DINA Original",50,0.00633595482571891,0.0248944107915408,0.0146763889090093,0.000724279799006657,0.00609247009606649,0.0143681994301577,0.0227058269743203,-0.0217011392947072,NA,NA,2,2,6,2.82914000000003
